,canton,month,language,gender,time_period,avg_sentiment,count
367,Schaffhausen,4,en,MALE,Day,0.2807017543859649,57
368,Aargau,4,de,MALE,Day,0.8,10
369,Bern,7,de,UNKNOWN,Night,1.0,8
370,Basel-City,2,fr,UNKNOWN,Night,1.0,5
371,Aargau,1,en,MALE,Day,0.0,198
372,Ticino,3,en,UNKNOWN,Night,0.08316008316008316,962
373,Bern,4,en,UNKNOWN,Night,0.10202550637659415,1333
374,Vaud,6,fr,FEMALE,Day,0.47692307692307695,130
375,Vaud,9,en,UNKNOWN,Day,0.1991472178688918,70827
376,Zurich,9,fr,FEMALE,Night,0.8787878787878788,33
377,Obwalden,1,en,UNKNOWN,Night,0.0,18
378,Neuchâtel,3,fr,UNKNOWN,Night,0.3333333333333333,3
379,Neuchâtel,1,en,MALE,Day,0.0,65
380,Saint Gallen,4,de,MALE,Day,1.0,33
381,Bern,8,de,FEMALE,Night,1.0,20
382,Valais,5,de,UNKNOWN,Night,1.0,6
383,Grisons,6,de,UNKNOWN,Night,1.0,3
384,Bern,10,fr,UNKNOWN,Day,0.6,5
385,Zurich,1,de,FEMALE,Day,0.8625954198473282,131
386,Saint Gallen,1,en,MALE,Day,0.07344632768361582,177
387,Valais,2,en,UNKNOWN,Night,0.10387931034482759,2320
388,Fribourg,4,en,UNKNOWN,Night,0.14814814814814814,216
389,Geneva,5,fr,UNKNOWN,Night,0.735973597359736,606
390,Jura,6,en,UNKNOWN,Day,0.0,11
391,Bern,5,en,FEMALE,Night,0.23140495867768596,121
392,Grisons,3,en,UNKNOWN,Night,0.0625,16
393,Fribourg,10,fr,UNKNOWN,Day,1.0,28
394,Jura,10,en,MALE,Day,0.3,20
395,Lucerne,7,de,MALE,Day,1.0,3
396,Geneva,6,fr,FEMALE,Night,0.3333333333333333,36
397,Vaud,6,de,MALE,Day,0.8290993071593533,433
398,Basel-City,8,en,UNKNOWN,Night,0.16805671392827357,9592
399,Zurich,9,de,MALE,Night,0.9030837004405287,227
400,Lucerne,4,en,MALE,Day,0.19915254237288135,236
401,Fribourg,5,en,FEMALE,Night,0.2,15
402,Valais,7,fr,MALE,Day,0.7073170731707317,41
403,Basel-Landschaft,8,en,MALE,Night,0.0,8
404,Fribourg,9,fr,MALE,Day,1.0,14
405,Thurgau,9,en,UNKNOWN,Night,-0.25,4
406,Grisons,4,en,FEMALE,Night,1.0,1
407,Basel-Landschaft,10,en,FEMALE,Night,0.3333333333333333,3
408,Vaud,3,en,MALE,Day,0.19716891103806594,18862
409,Vaud,5,fr,UNKNOWN,Night,0.6566371681415929,565
410,Zurich,6,en,MALE,Night,0.16082348145128414,4906
411,Ticino,6,en,FEMALE,Night,0.20327868852459016,305
412,Aargau,9,en,UNKNOWN,Night,0.2530345471521942,4284
413,Basel-City,9,en,FEMALE,Night,0.18957871396895787,902
414,Schwyz,9,en,MALE,Night,0.4444444444444444,9
415,Solothurn,6,de,UNKNOWN,Day,0.7142857142857143,14
416,Neuchâtel,9,en,UNKNOWN,Night,0.1111111111111111,63
417,Appenzell Ausserrhoden,10,de,MALE,Night,0.6666666666666666,6
418,Schaffhausen,10,de,UNKNOWN,Night,1.0,1
419,Appenzell Ausserrhoden,6,de,UNKNOWN,Night,1.0,1
420,Valais,5,en,FEMALE,Night,0.1627172195892575,633
421,Basel-City,5,de,MALE,Night,0.9542857142857143,175
422,Grisons,10,de,MALE,Day,1.0,8
423,Solothurn,3,en,UNKNOWN,Day,0.10810810810810811,37
424,Nidwalden,5,de,UNKNOWN,Day,-1.0,1
425,Vaud,10,de,FEMALE,Day,0.875,144
426,Saint Gallen,9,en,UNKNOWN,Night,0.19047619047619047,42
427,Appenzell Ausserrhoden,3,en,UNKNOWN,Night,0.0,5
428,Schaffhausen,9,de,MALE,Night,1.0,2
429,Basel-City,2,en,MALE,Night,0.11682539682539683,1575
430,Geneva,3,en,MALE,Night,0.16967032967032966,2275
431,Zurich,10,en,FEMALE,Night,0.2802211610957527,3979
432,Basel-City,4,fr,UNKNOWN,Day,1.0,7
433,Solothurn,4,en,FEMALE,Day,0.2727272727272727,11
434,Aargau,6,de,MALE,Night,1.0,9
435,Bern,9,de,UNKNOWN,Day,0.8106508875739645,338
436,Thurgau,3,en,MALE,Night,0.22727272727272727,22
437,Bern,9,fr,MALE,Night,1.0,3
438,Schaffhausen,6,en,MALE,Night,0.7142857142857143,7
439,Ticino,8,de,UNKNOWN,Day,1.0,1
440,Basel-Landschaft,4,fr,MALE,Day,1.0,1
441,Obwalden,10,de,MALE,Day,1.0,1
442,Nidwalden,2,en,UNKNOWN,Day,-1.0,1
443,Bern,1,de,MALE,Day,0.8775510204081632,49
444,Zurich,2,de,UNKNOWN,Night,0.9070796460176991,452
445,Ticino,5,en,UNKNOWN,Day,0.13588850174216027,1148
446,Bern,6,en,UNKNOWN,Day,0.166371158392435,3384
447,Neuchâtel,3,en,MALE,Night,0.2682926829268293,41
448,Vaud,8,fr,FEMALE,Night,0.47692307692307695,65
449,Neuchâtel,5,fr,UNKNOWN,Day,1.0,10
450,Grisons,8,de,UNKNOWN,Day,1.0,18
451,Saint Gallen,6,de,MALE,Night,1.0,30
452,Obwalden,3,en,UNKNOWN,Day,0.10714285714285714,28
453,Aargau,3,en,MALE,Night,0.12903225806451613,31
454,Uri,7,en,UNKNOWN,Day,-0.25,4
455,Geneva,10,de,FEMALE,Night,1.0,14
456,Lucerne,10,de,UNKNOWN,Night,1.0,13
457,Zurich,2,fr,MALE,Day,0.5,8
458,Fribourg,9,de,UNKNOWN,Day,1.0,3
