,canton_code,canton,month,language,gender,time_period,count,sentiment
359,BE,Bern,8,English,Female,Day,301,0.20930232558139536
360,BE,Bern,9,English,Unknown,Night,1827,0.13957307060755336
361,BE,Bern,4,German,Male,Night,35,1.0
362,BE,Bern,1,English,Male,Night,383,0.02610966057441253
363,BE,Bern,5,French,Unknown,Day,6,1.0
364,BE,Bern,6,German,Male,Day,112,0.9285714285714286
365,BE,Bern,3,English,Male,Day,810,0.20493827160493827
366,BE,Bern,10,German,Female,Day,81,0.9753086419753086
367,BE,Bern,8,German,Male,Night,71,0.9718309859154929
368,BE,Bern,5,English,Male,Night,689,0.1915820029027576
369,BE,Bern,9,French,Unknown,Day,5,1.0
370,BE,Bern,1,German,Unknown,Night,23,0.4782608695652174
371,BE,Bern,1,French,Male,Day,1,1.0
372,BE,Bern,2,German,Female,Night,15,1.0
373,BE,Bern,7,English,Male,Day,956,0.17364016736401675
374,BE,Bern,10,English,Unknown,Day,3838,0.15737363210005212
375,BE,Bern,3,German,Unknown,Day,158,0.9620253164556962
376,BE,Bern,3,French,Male,Night,2,1.0
377,BE,Bern,4,German,Female,Day,62,0.9032258064516128
378,BE,Bern,1,English,Female,Day,162,0.043209876543209874
379,BE,Bern,9,English,Male,Night,639,0.23161189358372455
380,BE,Bern,5,German,Unknown,Night,58,0.7241379310344828
381,BE,Bern,5,French,Male,Day,1,1.0
382,BE,Bern,2,English,Unknown,Night,1243,0.07160096540627514
383,BE,Bern,6,German,Female,Night,17,1.0
384,BE,Bern,3,English,Female,Night,147,0.1564625850340136
385,BE,Bern,7,German,Unknown,Day,25,1.0
386,BE,Bern,4,English,Unknown,Day,2265,0.15011037527593818
387,BE,Bern,8,German,Female,Day,45,1.0
388,BE,Bern,5,English,Female,Day,237,0.0970464135021097
389,BE,Bern,9,German,Unknown,Night,88,0.5454545454545454
390,BE,Bern,9,French,Male,Day,5,1.0
391,BE,Bern,6,English,Unknown,Night,1747,0.10646823125357756
392,BE,Bern,1,German,Male,Night,24,0.9166666666666666
393,BE,Bern,7,English,Female,Night,159,0.2389937106918239
394,BE,Bern,2,French,Unknown,Day,6,1.0
395,BE,Bern,10,English,Male,Day,1379,0.2160986221899928
396,BE,Bern,3,French,Female,Day,1,1.0
397,BE,Bern,8,English,Unknown,Day,3666,0.18821603927986907
398,BE,Bern,3,German,Male,Day,116,0.9655172413793104
399,BE,Bern,9,English,Female,Day,245,0.2979591836734694
400,BE,Bern,4,French,Unknown,Night,2,1.0
401,BE,Bern,5,German,Male,Night,81,1.0
402,BE,Bern,2,English,Male,Night,538,0.14312267657992564
403,BE,Bern,6,French,Unknown,Day,5,1.0
404,BE,Bern,7,German,Male,Day,13,1.0
405,BE,Bern,4,English,Male,Day,846,0.1938534278959811
406,BE,Bern,10,German,Unknown,Day,245,0.7387755102040816
407,BE,Bern,10,French,Male,Night,3,0.3333333333333333
408,BE,Bern,1,German,Female,Day,41,0.951219512195122
409,BE,Bern,9,German,Male,Night,67,0.9701492537313432
410,BE,Bern,6,English,Male,Night,638,0.21316614420062696
411,BE,Bern,10,English,Female,Night,135,0.08148148148148149
412,BE,Bern,2,German,Unknown,Night,40,0.35
413,BE,Bern,2,French,Male,Day,1,1.0
414,BE,Bern,3,German,Female,Night,21,1.0
415,BE,Bern,8,English,Male,Day,1169,0.21813515825491872
416,BE,Bern,4,German,Unknown,Day,128,0.828125
417,BE,Bern,4,French,Male,Night,1,1.0
418,BE,Bern,1,English,Unknown,Day,1320,0.0037878787878787884
419,BE,Bern,5,German,Female,Day,89,0.8876404494382022
420,BE,Bern,2,English,Female,Day,219,0.1415525114155251
421,BE,Bern,6,German,Unknown,Night,70,0.8857142857142857
422,BE,Bern,6,French,Male,Day,3,1.0
423,BE,Bern,3,English,Unknown,Night,1539,0.06692657569850552
424,BE,Bern,7,German,Female,Night,1,1.0
425,BE,Bern,4,English,Female,Night,183,0.2295081967213115
426,BE,Bern,10,German,Male,Day,173,0.9537572254335259
427,BE,Bern,8,German,Unknown,Day,239,0.6987447698744771
428,BE,Bern,8,French,Male,Night,1,1.0
429,BE,Bern,5,English,Unknown,Day,2991,0.14376462721497826
430,BE,Bern,9,German,Female,Day,83,0.8795180722891566
431,BE,Bern,6,English,Female,Day,272,0.09191176470588236
432,BE,Bern,7,English,Unknown,Night,1471,0.16791298436437802
433,BE,Bern,2,German,Male,Night,47,0.9574468085106383
434,BE,Bern,8,English,Female,Night,221,0.2624434389140272
435,BE,Bern,3,French,Unknown,Day,8,1.0
